timestamp,source,x,y,z,qx,qy,qz,qw
1740862495.4964314,yaw_rate,9.073500000004982,6.296107225712694e-09,0.0,0.0,0.0,0.7068251817983612,0.7073882684747561
1740862495.5154326,yaw_rate,9.07350000000504,6.370176725224749e-09,0.0,0.0,0.0,0.7068251817983612,0.7073882684747561
1740862495.5158195,single_track,9.073500000009693,1.219348406339735e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5162103,yaw_rate,9.0735000000051,6.444246193463431e-09,0.0,0.0,0.0,0.7068251818074052,0.7073882684657194
1740862495.5165107,single_track,9.073500000009734,1.2245620183677117e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5168505,single_track,9.073500000009789,1.2314119042048913e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5238783,yaw_rate,9.073500000005158,6.518315528738579e-09,0.0,0.0,0.0,0.7068251818230256,0.7073882684501115
1740862495.5246563,single_track,9.073500000009846,1.2384425314373028e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5373294,yaw_rate,9.073500000005216,6.592384928470551e-09,0.0,0.0,0.0,0.7068251818230256,0.7073882684501115
1740862495.5379117,single_track,9.073500000009913,1.2470138231162287e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5474658,yaw_rate,9.073500000005275,6.666454091105686e-09,0.0,0.0,0.0,0.7068251818320704,0.7073882684410737
1740862495.5478985,single_track,9.073500000009954,1.2522423650073382e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5532525,yaw_rate,9.073500000005334,6.740523254950508e-09,0.0,0.0,0.0,0.7068251818476918,0.7073882684254648
1740862495.5538554,single_track,9.07350000001001,1.259439732320375e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5632493,yaw_rate,9.073500000005392,6.814592413116443e-09,0.0,0.0,0.0,0.7068251818559138,0.7073882684172493
1740862495.5642996,single_track,9.07350000001007,1.2667434016560056e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5761116,yaw_rate,9.07350000000545,6.888661562892534e-09,0.0,0.0,0.0,0.7068251818559138,0.7073882684172493
1740862495.5767272,single_track,9.073500000010133,1.2748516774128307e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5853562,yaw_rate,9.07350000000551,6.962730467457819e-09,0.0,0.0,0.0,0.7068251818641353,0.7073882684090343
1740862495.586123,single_track,9.073500000010181,1.2809489942705259e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.5932503,yaw_rate,9.073500000005568,7.03679935282031e-09,0.0,0.0,0.0,0.7068251818731799,0.707388268399997
1740862495.5939481,single_track,9.073500000010238,1.2880500460725126e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6034591,yaw_rate,9.073500000005627,7.110868232547352e-09,0.0,0.0,0.0,0.7068251818805783,0.7073882683926045
1740862495.6041543,single_track,9.073500000010295,1.2952963540059722e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.615234,yaw_rate,9.073500000005685,7.1849370902085995e-09,0.0,0.0,0.0,0.706825181888802,0.7073882683843873
1740862495.6190743,single_track,9.07350000001036,1.3036172349186512e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6245959,single_track,9.073500000010409,1.3096172479140848e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6255443,yaw_rate,9.073500000005744,7.259005930923283e-09,0.0,0.0,0.0,0.7068251818994902,0.7073882683737076
1740862495.6332066,yaw_rate,9.073500000005803,7.333074715684977e-09,0.0,0.0,0.0,0.7068251819068884,0.7073882683663154
1740862495.6341066,single_track,9.073500000010466,1.3167777634668668e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6434214,yaw_rate,9.073500000005861,7.4071434322355486e-09,0.0,0.0,0.0,0.7068251819151095,0.7073882683581008
1740862495.6443257,single_track,9.073500000010524,1.3240299381757305e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6562006,yaw_rate,9.07350000000592,7.481211944138315e-09,0.0,0.0,0.0,0.7068251819233303,0.7073882683498866
1740862495.6606023,single_track,9.073500000010597,1.3331766491702472e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6653285,yaw_rate,9.073500000005978,7.555280519638671e-09,0.0,0.0,0.0,0.7068251819233303,0.7073882683498866
1740862495.6665866,single_track,9.073500000010638,1.3384022863808944e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6732125,yaw_rate,9.073500000006037,7.629349062122858e-09,0.0,0.0,0.0,0.706825181942241,0.7073882683309909
1740862495.674053,single_track,9.073500000010695,1.345617837392057e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.6835167,yaw_rate,9.073500000006096,7.703417548915682e-09,0.0,0.0,0.0,0.7068251819496395,0.7073882683235981
1740862495.684932,single_track,9.073500000010757,1.3534826374401342e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.7024488,yaw_rate,9.073500000006154,7.777485974739253e-09,0.0,0.0,0.0,0.7068251819578608,0.7073882683153835
1740862495.7031107,single_track,9.073500000010819,1.3612151934018549e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740862495.7037928,yaw_rate,9.073500000006213,7.851554376962371e-09,0.0,0.0,0.0,0.7068251819578608,0.7073882683153835
