timestamp,source,x,y,z,qx,qy,qz,qw
1740863559.4413803,double_track,9.07350000002097,2.6360143702310888e-08,0.0,0.0,0.0,0.706825554256957,0.7073878963124444
1740863559.4517906,yaw_rate,9.073500000021586,2.7275940599647075e-08,0.0,0.0,0.0,0.7068251880698724,0.707388262208237
1740863559.4522972,single_track,9.073500000019795,2.4860659443622148e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.4527314,double_track,9.07350000002102,2.642513826214801e-08,0.0,0.0,0.0,0.7068255551768939,0.7073878953932387
1740863559.4535751,yaw_rate,9.073500000021635,2.7338796997008616e-08,0.0,0.0,0.0,0.7068251880862094,0.7073882621919131
1740863559.4569585,single_track,9.073500000019845,2.4923712047227063e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.4599524,double_track,9.073500000021065,2.6481650544513657e-08,0.0,0.0,0.0,0.7068255559767751,0.7073878945939934
1740863559.4645298,yaw_rate,9.073500000021685,2.7401653549372452e-08,0.0,0.0,0.0,0.7068251881058134,0.7073882621723246
1740863559.4659028,single_track,9.073500000019893,2.4983201868516264e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.4702313,double_track,9.073500000021113,2.6542875384828447e-08,0.0,0.0,0.0,0.706825556843355,0.7073878937281024
1740863559.4725409,yaw_rate,9.073500000021735,2.7464510085345095e-08,0.0,0.0,0.0,0.7068251881221509,0.7073882621560001
1740863559.4759307,single_track,9.07350000001994,2.5043793582926396e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.480032,double_track,9.073500000021161,2.660255232926413e-08,0.0,0.0,0.0,0.706825557688028,0.7073878928841009
1740863559.4825308,yaw_rate,9.073500000021784,2.7527366637446384e-08,0.0,0.0,0.0,0.7068251881384889,0.7073882621396751
1740863559.4859908,single_track,9.073500000019989,2.510472124344108e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.490215,double_track,9.073500000021209,2.6663442024472993e-08,0.0,0.0,0.0,0.7068255585498653,0.7073878920229487
1740863559.498389,yaw_rate,9.073500000021834,2.75902232170433e-08,0.0,0.0,0.0,0.7068251881548258,0.7073882621233513
1740863559.499339,single_track,9.07350000002005,2.5183160201688172e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.500076,double_track,9.073500000021257,2.6723545687074764e-08,0.0,0.0,0.0,0.7068255594005786,0.7073878911729118
1740863559.5034332,yaw_rate,9.073500000021884,2.76530797398067e-08,0.0,0.0,0.0,0.7068251881548258,0.7073882621233513
1740863559.505842,single_track,9.073500000020084,2.5226313782986587e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.5105007,double_track,9.073500000021307,2.6786316127882732e-08,0.0,0.0,0.0,0.7068255602890344,0.7073878902851621
1740863559.5123787,yaw_rate,9.073500000021934,2.7715936387229524e-08,0.0,0.0,0.0,0.7068251881989358,0.7073882620792763
1740863559.5161555,single_track,9.073500000020134,2.528772765061527e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.519963,double_track,9.073500000021353,2.684493259816996e-08,0.0,0.0,0.0,0.7068255611186949,0.7073878894561613
1740863559.5225904,yaw_rate,9.073500000021983,2.777879305740867e-08,0.0,0.0,0.0,0.7068251882152735,0.7073882620629517
1740863559.5257907,single_track,9.073500000020182,2.5347783801824853e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.530051,double_track,9.0735000000214,2.6906278247268246e-08,0.0,0.0,0.0,0.7068255619869853,0.7073878885885609
1740863559.5324214,yaw_rate,9.073500000022033,2.7841649956958586e-08,0.0,0.0,0.0,0.7068251882316109,0.7073882620466273
1740863559.5446873,yaw_rate,9.073500000022083,2.7904506856508502e-08,0.0,0.0,0.0,0.7068251882316109,0.7073882620466273
1740863559.545333,single_track,9.07350000002024,2.542151455651614e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.5457923,double_track,9.073500000021449,2.6967239807749818e-08,0.0,0.0,0.0,0.7068255628498418,0.7073878877263905
1740863559.5478327,single_track,9.073500000020289,2.548090450205646e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.5503519,double_track,9.073500000021497,2.7028137753219578e-08,0.0,0.0,0.0,0.7068255637117914,0.7073878868651261
1740863559.552606,yaw_rate,9.073500000022133,2.796736365047937e-08,0.0,0.0,0.0,0.7068251882512144,0.7073882620270393
1740863559.5557046,single_track,9.073500000020328,2.5530702118225705e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.5600276,double_track,9.073500000021543,2.7085216851307784e-08,0.0,0.0,0.0,0.7068255645196895,0.7073878860578701
1740863559.5625937,yaw_rate,9.073500000022182,2.8030220471989996e-08,0.0,0.0,0.0,0.7068251882659166,0.707388262012349
1740863559.5661585,single_track,9.073500000020378,2.5592762022095175e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.5702016,double_track,9.073500000021593,2.7146680595992408e-08,0.0,0.0,0.0,0.7068255653896515,0.7073878851885997
1740863559.5804007,yaw_rate,9.073500000022232,2.8093077358315656e-08,0.0,0.0,0.0,0.7068251882822533,0.7073882619960252
1740863559.5810714,single_track,9.073500000020427,2.5656276756020713e-08,0.0,0.0,0.0,0.706825181105366,0.7073882691671998
1740863559.5816884,double_track,9.073500000021642,2.7209936535600326e-08,0.0,0.0,0.0,0.7068255662849755,0.7073878842939875
