Time (s),X (m),Y (m)
12.05,5.573,4.147
12.06,5.568,4.150
12.07,5.564,4.152
12.09,5.560,4.155
12.09,5.555,4.157
12.10,5.551,4.159
12.12,5.546,4.162
12.13,5.542,4.164
12.14,5.538,4.167
12.14,5.533,4.169
12.16,5.529,4.171
12.17,5.525,4.174
12.18,5.520,4.176
12.19,5.516,4.179
12.20,5.511,4.181
12.21,5.507,4.184
12.21,5.503,4.186
12.23,5.498,4.188
12.24,5.494,4.191
12.24,5.490,4.193
12.25,5.485,4.196
12.26,5.481,4.198
12.27,5.476,4.201
12.28,5.472,4.203
12.29,5.468,4.205
12.30,5.463,4.208
12.32,5.459,4.210
12.33,5.455,4.213
12.33,5.450,4.215
12.34,5.446,4.218
12.36,5.441,4.220
12.37,5.437,4.222
12.38,5.433,4.225
12.38,5.428,4.227
12.40,5.424,4.230
12.40,5.420,4.232
12.41,5.415,4.234
12.42,5.411,4.237
12.44,5.406,4.239
12.44,5.402,4.242
12.45,5.398,4.244
12.47,5.393,4.247
12.47,5.389,4.249
12.48,5.385,4.251
12.49,5.380,4.254
12.51,5.376,4.256
12.51,5.371,4.259
12.52,5.367,4.261
12.53,5.363,4.264
12.55,5.358,4.266
12.55,5.354,4.268
12.56,5.350,4.271
12.57,5.345,4.273
12.59,5.341,4.276
12.59,5.336,4.278
12.60,5.332,4.281
12.61,5.328,4.283
12.62,5.323,4.285
12.64,5.319,4.288
12.64,5.315,4.290
12.65,5.310,4.293
12.67,5.306,4.295
12.67,5.301,4.297
12.69,5.297,4.300
12.70,5.293,4.302
12.71,5.288,4.305
12.71,5.284,4.307
12.72,5.280,4.310
12.73,5.275,4.312
12.74,5.271,4.314
12.75,5.267,4.317
12.76,5.262,4.319
12.77,5.258,4.322
12.78,5.253,4.324
12.79,5.249,4.327
12.80,5.245,4.329
12.81,5.240,4.331
12.82,5.236,4.334
12.83,5.232,4.336
12.85,5.227,4.339
12.85,5.223,4.341
12.86,5.218,4.344
12.88,5.214,4.346
12.88,5.210,4.348
12.89,5.205,4.351
12.90,5.201,4.353
12.92,5.197,4.356
12.92,5.192,4.358
12.93,5.188,4.360
12.95,5.183,4.363
12.96,5.179,4.365
12.97,5.175,4.368
12.98,5.170,4.370
12.99,5.166,4.373
13.00,5.162,4.375
13.01,5.157,4.377
13.02,5.153,4.380
13.03,5.148,4.382
13.04,5.144,4.385
13.05,5.140,4.387
13.06,5.135,4.390
13.07,5.131,4.392
13.08,5.127,4.394
13.09,5.122,4.397
13.11,5.113,4.402
13.12,5.109,4.404
13.13,5.105,4.407
13.14,5.100,4.409
13.15,5.096,4.411
13.16,5.092,4.414
13.17,5.087,4.416
13.18,5.083,4.419
13.19,5.078,4.421
13.20,5.074,4.423
13.21,5.070,4.426
13.22,5.065,4.428
13.23,5.061,4.431
13.23,5.057,4.433
13.25,5.052,4.436
13.26,5.048,4.438
13.27,5.043,4.440
13.28,5.039,4.443
13.29,5.035,4.445
13.30,5.030,4.448
13.32,5.026,4.450
13.33,5.022,4.453
13.33,5.017,4.455
13.34,5.013,4.457
13.35,5.008,4.460
13.36,5.004,4.462
13.37,5.000,4.465
13.38,4.995,4.467
13.40,4.991,4.470
13.41,4.987,4.472
13.41,4.982,4.474
13.42,4.978,4.477
13.44,4.973,4.479
13.44,4.969,4.482
13.45,4.965,4.484
13.47,4.960,4.486
13.47,4.956,4.489
13.48,4.952,4.491
13.49,4.947,4.494
13.51,4.943,4.496
13.52,4.938,4.499
13.53,4.934,4.501
13.54,4.930,4.503
13.55,4.925,4.506
13.56,4.921,4.508
13.57,4.917,4.511
13.58,4.912,4.513
13.59,4.908,4.516
13.60,4.904,4.518
13.61,4.899,4.520
13.62,4.895,4.523
13.63,4.890,4.525
13.64,4.886,4.528
13.64,4.882,4.530
13.66,4.877,4.533
13.67,4.873,4.535
13.68,4.869,4.537
13.70,4.864,4.540
13.70,4.860,4.542
13.71,4.855,4.545
13.72,4.851,4.547
13.73,4.847,4.550
13.74,4.842,4.552
13.75,4.838,4.554
13.76,4.834,4.557
13.77,4.829,4.559
13.78,4.825,4.562
13.79,4.820,4.564
13.80,4.816,4.566
13.81,4.812,4.569
13.82,4.807,4.571
13.83,4.803,4.574
13.84,4.799,4.576
13.85,4.794,4.579
13.86,4.790,4.581
13.87,4.785,4.583
13.88,4.781,4.586
13.89,4.777,4.588
13.90,4.772,4.591
13.91,4.768,4.593
13.92,4.764,4.596
13.93,4.759,4.598
13.93,4.755,4.600
13.94,4.750,4.603
13.96,4.746,4.605
13.96,4.742,4.608
13.97,4.737,4.610
13.99,4.733,4.613
14.00,4.729,4.615
14.01,4.724,4.617
14.02,4.720,4.620
14.03,4.715,4.622
14.04,4.711,4.625
14.05,4.707,4.627
14.06,4.702,4.630
14.07,4.698,4.632
14.08,4.694,4.634
14.09,4.689,4.637
14.10,4.685,4.639
14.11,4.680,4.642
14.12,4.676,4.644
14.13,4.672,4.646
14.13,4.667,4.649
14.15,4.663,4.651
14.16,4.659,4.654
14.17,4.654,4.656
14.18,4.650,4.659
14.19,4.646,4.661
14.20,4.641,4.663
14.21,4.637,4.666
14.22,4.632,4.668
14.23,4.628,4.671
14.24,4.624,4.673
14.25,4.619,4.676
14.26,4.615,4.678
14.27,4.611,4.680
14.28,4.606,4.683
14.29,4.602,4.685
14.30,4.597,4.688
14.31,4.593,4.690
14.33,4.589,4.693
14.33,4.584,4.695
14.34,4.580,4.697
14.35,4.576,4.700
14.37,4.571,4.702
14.37,4.567,4.705
14.38,4.562,4.707
14.39,4.558,4.710
14.40,4.554,4.712
14.41,4.549,4.714
14.42,4.545,4.717
14.43,4.541,4.719
14.44,4.536,4.722
14.45,4.532,4.724
14.46,4.527,4.727
14.47,4.523,4.729
14.48,4.519,4.731
14.49,4.514,4.734
14.50,4.510,4.736
14.51,4.506,4.739
14.52,4.501,4.741
14.53,4.497,4.743
14.54,4.492,4.746
14.55,4.488,4.748
14.56,4.484,4.751
14.57,4.479,4.753
14.58,4.475,4.756
14.60,4.471,4.758
14.60,4.466,4.760
14.61,4.462,4.763
14.62,4.457,4.765
14.63,4.453,4.768
14.64,4.449,4.770
14.65,4.444,4.773
14.66,4.440,4.775
14.67,4.436,4.777
14.68,4.431,4.780
14.69,4.427,4.782
14.70,4.423,4.785
14.71,4.418,4.787
14.72,4.414,4.790
14.73,4.409,4.792
14.74,4.405,4.794
14.75,4.401,4.797
14.76,4.396,4.799
14.77,4.392,4.802
14.79,4.388,4.804
14.79,4.383,4.807
14.80,4.379,4.809
14.81,4.374,4.811
14.83,4.370,4.814
14.83,4.366,4.816
14.84,4.361,4.819
14.86,4.357,4.821
14.86,4.353,4.824
14.87,4.348,4.826
14.88,4.344,4.828
14.90,4.339,4.831
14.90,4.335,4.833
14.91,4.331,4.836
14.92,4.326,4.838
14.93,4.322,4.841
14.94,4.318,4.843
14.95,4.313,4.845
14.96,4.309,4.848
14.97,4.304,4.850
14.98,4.300,4.853
14.99,4.296,4.855
15.01,4.291,4.857
15.02,4.287,4.860
15.02,4.283,4.862
15.03,4.278,4.865
15.05,4.274,4.867
15.06,4.270,4.870
15.07,4.265,4.872
15.07,4.261,4.874
15.09,4.256,4.877
15.10,4.252,4.879
15.11,4.248,4.882
15.12,4.243,4.884
15.13,4.239,4.887
15.14,4.235,4.889
15.15,4.230,4.891
15.16,4.226,4.894
15.17,4.221,4.896
15.18,4.217,4.899
15.19,4.213,4.901
15.20,4.208,4.904
15.21,4.204,4.906
15.22,4.200,4.908
15.23,4.195,4.911
15.24,4.191,4.913
15.25,4.186,4.916
15.26,4.182,4.918
15.27,4.178,4.921
15.28,4.173,4.923
15.29,4.169,4.925
15.29,4.165,4.928
15.30,4.160,4.930
15.32,4.156,4.933
15.33,4.151,4.935
15.34,4.147,4.938
15.35,4.143,4.940
15.36,4.138,4.942
15.37,4.134,4.945
15.38,4.130,4.947
15.39,4.125,4.950
15.40,4.121,4.952
15.41,4.116,4.955
15.42,4.112,4.957
15.43,4.108,4.959
15.44,4.103,4.962
15.45,4.099,4.964
15.46,4.095,4.967
15.47,4.090,4.969
15.48,4.086,4.972
15.49,4.082,4.974
15.50,4.077,4.976
15.51,4.073,4.979
15.52,4.068,4.981
15.53,4.064,4.984
15.55,4.060,4.986
15.56,4.055,4.989
15.57,4.051,4.991
15.58,4.047,4.993
15.59,4.042,4.996
15.59,4.038,4.998
15.60,4.033,5.001
15.62,4.029,5.003
15.63,4.025,5.006
15.64,4.020,5.008
15.65,4.016,5.010
15.66,4.012,5.013
15.67,4.007,5.015
15.68,4.003,5.018
15.68,3.998,5.020
15.70,3.994,5.022
15.71,3.990,5.025
15.71,3.985,5.027
15.73,3.981,5.030
15.74,3.977,5.032
15.75,3.972,5.035
15.76,3.968,5.037
15.77,3.963,5.039
15.78,3.959,5.042
15.79,3.955,5.044
15.80,3.950,5.047
15.81,3.946,5.049
15.82,3.942,5.052
15.83,3.937,5.054
15.84,3.933,5.056
15.85,3.929,5.059
15.86,3.924,5.061
15.87,3.920,5.064
15.88,3.915,5.066
15.89,3.911,5.069
15.90,3.907,5.071
15.91,3.902,5.073
15.92,3.898,5.076
15.93,3.894,5.078
15.94,3.889,5.081
15.95,3.885,5.083
15.96,3.880,5.086
15.97,3.876,5.088
15.98,3.872,5.090
15.99,3.867,5.093
16.00,3.863,5.095
16.01,3.859,5.098
16.02,3.854,5.100
16.04,3.850,5.103
16.04,3.845,5.105
16.05,3.841,5.107
16.06,3.837,5.110
16.08,3.832,5.112
16.08,3.828,5.115
16.09,3.824,5.117
16.11,3.819,5.120
16.11,3.815,5.122
16.12,3.810,5.124
16.13,3.806,5.127
16.15,3.802,5.129
16.15,3.797,5.132
16.16,3.793,5.134
16.17,3.789,5.137
16.19,3.784,5.139
16.19,3.780,5.141
16.20,3.776,5.144
16.21,3.771,5.146
16.22,3.767,5.149
16.24,3.762,5.151
16.24,3.758,5.154
16.25,3.754,5.156
16.27,3.749,5.158
16.28,3.745,5.161
16.29,3.741,5.163
16.30,3.736,5.166
16.31,3.732,5.168
16.32,3.727,5.171
16.33,3.723,5.173
16.34,3.719,5.175
16.35,3.714,5.178
16.36,3.710,5.180
16.37,3.706,5.183
16.38,3.701,5.185
16.38,3.697,5.188
16.39,3.692,5.190
16.40,3.688,5.192
16.42,3.684,5.195
16.43,3.679,5.197
16.43,3.675,5.200
16.44,3.671,5.202
16.45,3.666,5.205
16.46,3.662,5.207
16.47,3.657,5.209
16.48,3.653,5.212
16.49,3.649,5.214
16.50,3.644,5.217
16.51,3.640,5.219
16.52,3.636,5.222
16.54,3.631,5.224
16.54,3.627,5.226
16.55,3.623,5.229
16.56,3.618,5.231
16.58,3.614,5.234
16.59,3.609,5.236
16.60,3.605,5.239
16.60,3.601,5.241
16.62,3.596,5.243
16.63,3.592,5.246
16.64,3.588,5.248
16.65,3.583,5.251
16.66,3.579,5.253
16.67,3.574,5.256
16.68,3.570,5.258
16.69,3.566,5.260
16.70,3.561,5.263
16.71,3.557,5.265
16.72,3.553,5.268
16.73,3.548,5.270
16.74,3.544,5.272
16.75,3.539,5.275
16.76,3.535,5.277
16.77,3.531,5.280
16.78,3.526,5.282
16.79,3.522,5.285
16.80,3.518,5.287
16.81,3.513,5.289
16.82,3.509,5.292
16.83,3.504,5.294
16.84,3.500,5.297
16.85,3.496,5.299
16.86,3.491,5.302
16.87,3.487,5.304
16.88,3.483,5.306
16.89,3.478,5.309
16.90,3.474,5.311
16.91,3.470,5.314
16.92,3.465,5.316
16.93,3.461,5.319
16.94,3.456,5.321
16.95,3.452,5.323
16.96,3.448,5.326
16.97,3.443,5.328
16.98,3.439,5.331
16.99,3.435,5.333
17.00,3.430,5.336
17.01,3.426,5.338
17.02,3.421,5.340
17.03,3.417,5.343
17.04,3.413,5.345
17.05,3.408,5.348
17.06,3.404,5.350
17.08,3.400,5.353
17.08,3.395,5.355
17.09,3.391,5.357
17.10,3.386,5.360
17.12,3.382,5.362
17.12,3.378,5.365
17.13,3.373,5.367
17.15,3.369,5.370
17.16,3.365,5.372
17.16,3.360,5.374
17.17,3.356,5.377
17.19,3.351,5.379
17.19,3.347,5.382
17.20,3.343,5.384
17.21,3.338,5.387
17.23,3.334,5.389
17.24,3.330,5.391
17.25,3.325,5.394
17.26,3.321,5.396
17.27,3.317,5.399
17.28,3.312,5.401
17.29,3.308,5.404
17.30,3.303,5.406
17.31,3.299,5.408
17.31,3.295,5.411
17.32,3.290,5.413
17.34,3.286,5.416
17.35,3.282,5.418
17.36,3.277,5.421
17.37,3.273,5.423
17.38,3.268,5.425
17.39,3.264,5.428
17.40,3.260,5.430
17.41,3.255,5.433
17.42,3.251,5.435
17.43,3.247,5.438
17.44,3.242,5.440
17.46,3.238,5.442
17.47,3.233,5.445
17.47,3.229,5.447
17.49,3.225,5.450
17.50,3.220,5.452
17.51,3.216,5.455
17.52,3.212,5.457
17.53,3.207,5.459
17.54,3.203,5.462
17.55,3.198,5.464
17.56,3.194,5.467
17.57,3.190,5.469
17.58,3.185,5.471
17.58,3.181,5.474
17.59,3.177,5.476
17.60,3.172,5.479
17.61,3.168,5.481
17.62,3.164,5.484
17.63,3.159,5.486
17.65,3.155,5.488
17.66,3.150,5.491
17.66,3.146,5.493
17.67,3.142,5.496
17.68,3.137,5.498
17.69,3.133,5.501
17.70,3.129,5.503
17.71,3.124,5.505
17.72,3.120,5.508
17.73,3.115,5.510
17.74,3.111,5.513
17.75,3.107,5.515
17.77,3.102,5.518
17.77,3.098,5.520
17.78,3.094,5.522
17.79,3.089,5.525
17.81,3.085,5.527
17.81,3.080,5.530
17.82,3.076,5.532
17.83,3.072,5.535
17.85,3.067,5.537
17.86,3.063,5.539
17.87,3.059,5.542
17.88,3.054,5.544
17.89,3.050,5.547
17.89,3.045,5.549
17.90,3.041,5.552
17.91,3.037,5.554
17.93,3.032,5.556
17.93,3.028,5.559
17.94,3.024,5.561
17.95,3.019,5.564
17.96,3.015,5.566
17.98,3.010,5.569
17.98,3.006,5.571
18.00,3.002,5.573
18.01,2.997,5.576
18.02,2.993,5.578
18.03,2.989,5.581
18.05,2.984,5.583
18.05,2.980,5.586
18.06,2.976,5.588
18.07,2.971,5.590
18.08,2.967,5.593
18.09,2.962,5.595
18.10,2.958,5.598
18.11,2.954,5.600
18.12,2.949,5.603
18.13,2.945,5.605
18.14,2.941,5.607
18.15,2.936,5.610
18.16,2.932,5.612
18.17,2.927,5.615
18.18,2.923,5.617
18.19,2.919,5.619
18.20,2.914,5.622
18.21,2.910,5.624
18.22,2.906,5.627
18.23,2.901,5.629
18.25,2.897,5.632
18.25,2.892,5.634
18.26,2.888,5.636
18.27,2.884,5.639
18.28,2.879,5.641
18.29,2.875,5.644
18.30,2.871,5.646
18.31,2.866,5.649
18.33,2.862,5.651
18.33,2.857,5.653
18.34,2.853,5.656
18.35,2.849,5.658
18.37,2.844,5.661
18.38,2.840,5.663
18.39,2.836,5.666
18.40,2.831,5.668
18.41,2.827,5.670
18.42,2.822,5.673
18.43,2.818,5.675
18.44,2.814,5.678
18.45,2.809,5.680
18.46,2.805,5.683
18.47,2.801,5.685
18.48,2.796,5.687
18.49,2.792,5.690
18.50,2.788,5.692
18.51,2.783,5.695
18.52,2.779,5.697
18.53,2.774,5.700
18.54,2.770,5.702
18.55,2.766,5.704
18.56,2.761,5.707
18.57,2.757,5.709
18.58,2.753,5.712
18.59,2.748,5.714
18.60,2.744,5.717
18.61,2.739,5.719
18.62,2.735,5.721
18.63,2.731,5.724
18.64,2.726,5.726
18.65,2.722,5.729
18.66,2.718,5.731
18.67,2.713,5.733
18.68,2.709,5.736
18.69,2.704,5.738
18.70,2.700,5.741
18.71,2.696,5.743
18.72,2.691,5.746
18.73,2.687,5.748
18.74,2.683,5.750
18.75,2.678,5.753
18.76,2.674,5.755
18.77,2.669,5.758
18.78,2.665,5.760
18.79,2.661,5.763
18.80,2.656,5.765
18.81,2.652,5.767
18.82,2.648,5.770
18.84,2.643,5.772
18.84,2.639,5.775
18.85,2.634,5.777
18.86,2.630,5.780
18.88,2.626,5.782
18.88,2.621,5.784
18.89,2.617,5.787
18.90,2.613,5.789
18.91,2.608,5.792
18.92,2.604,5.794
18.93,2.599,5.797
18.94,2.595,5.799
18.96,2.591,5.801
18.97,2.586,5.804
18.98,2.582,5.806
18.99,2.578,5.809
18.99,2.573,5.811
19.00,2.569,5.813
19.01,2.564,5.816
19.03,2.560,5.818
19.04,2.556,5.821
19.05,2.551,5.823
19.06,2.547,5.826
19.07,2.543,5.828
19.08,2.538,5.830
19.09,2.534,5.833
19.10,2.530,5.835
19.11,2.525,5.838
19.12,2.521,5.840
19.13,2.516,5.843
19.14,2.512,5.845
19.15,2.508,5.847
19.16,2.503,5.850
19.17,2.499,5.852
19.18,2.495,5.855
19.19,2.490,5.857
19.20,2.486,5.860
19.21,2.481,5.862
19.22,2.477,5.864
19.23,2.473,5.867
19.24,2.468,5.869
19.25,2.464,5.872
19.26,2.460,5.874
19.27,2.455,5.877
19.28,2.451,5.879
19.29,2.446,5.881
19.30,2.442,5.884
19.31,2.438,5.886
19.32,2.433,5.889
19.33,2.429,5.891
19.34,2.425,5.893
19.35,2.420,5.896
19.36,2.416,5.898
19.37,2.411,5.901
19.39,2.407,5.903
19.39,2.403,5.906
19.40,2.398,5.908
19.41,2.394,5.910
19.42,2.390,5.913
19.44,2.385,5.915
19.45,2.381,5.918
19.46,2.376,5.920
19.46,2.372,5.923
19.48,2.368,5.925
19.49,2.363,5.927
19.49,2.359,5.930
19.51,2.355,5.932
19.52,2.350,5.935
19.53,2.346,5.937
19.54,2.341,5.940
19.55,2.337,5.942
19.56,2.333,5.944
19.57,2.328,5.947
19.59,2.324,5.949
19.59,2.320,5.952
19.60,2.315,5.954
19.61,2.311,5.957
19.63,2.306,5.959
19.63,2.302,5.961
19.64,2.298,5.964
19.66,2.293,5.966
19.66,2.289,5.969
19.67,2.285,5.971
19.68,2.280,5.973
19.70,2.276,5.976
19.71,2.271,5.978
19.71,2.267,5.981
19.72,2.263,5.983
19.73,2.258,5.986
19.74,2.254,5.988
19.75,2.250,5.990
19.76,2.245,5.993
19.78,2.241,5.995
19.78,2.237,5.998
19.79,2.232,6.000
19.80,2.228,6.003
19.81,2.223,6.005
19.82,2.219,6.007
19.83,2.215,6.010
19.84,2.210,6.012
19.86,2.206,6.015
19.86,2.202,6.017
19.87,2.197,6.020
19.88,2.193,6.022
19.89,2.188,6.024
19.90,2.184,6.027
19.91,2.180,6.029
19.93,2.175,6.032
19.93,2.171,6.034
19.95,2.167,6.036
19.95,2.162,6.039
19.97,2.158,6.041
19.98,2.153,6.044
19.99,2.149,6.046
20.00,2.145,6.049
20.01,2.140,6.051
20.02,2.136,6.053
20.03,2.132,6.056
20.05,2.127,6.058
20.05,2.123,6.061
20.06,2.118,6.063
20.07,2.114,6.066
20.09,2.110,6.068
20.10,2.105,6.070
20.11,2.101,6.073
20.12,2.097,6.075
20.13,2.092,6.078
20.14,2.088,6.080
20.14,2.083,6.082
20.15,2.079,6.085
20.16,2.075,6.087
20.17,2.070,6.090
20.18,2.066,6.092
20.19,2.062,6.095
20.20,2.057,6.097
20.21,2.053,6.099
20.22,2.048,6.102
20.23,2.044,6.104
20.24,2.040,6.107
20.25,2.035,6.109
20.26,2.031,6.112
20.27,2.027,6.114
20.28,2.022,6.116
20.29,2.018,6.119
20.30,2.013,6.121
20.31,2.009,6.124
20.32,2.005,6.126
20.34,2.000,6.129
20.35,1.996,6.131
20.36,1.992,6.133
20.37,1.987,6.136
20.37,1.983,6.138
20.38,1.978,6.141
20.40,1.974,6.143
20.40,1.970,6.145
20.41,1.965,6.148
20.42,1.961,6.150
20.44,1.957,6.153
20.44,1.952,6.155
20.45,1.948,6.158
20.46,1.943,6.160
20.47,1.939,6.162
20.48,1.935,6.165
20.49,1.930,6.167
20.50,1.926,6.170
20.52,1.922,6.172
20.52,1.917,6.175
20.53,1.913,6.177
20.54,1.908,6.179
20.56,1.904,6.182
20.56,1.900,6.184
20.57,1.895,6.187
20.58,1.891,6.189
20.60,1.887,6.191
20.60,1.882,6.194
20.61,1.878,6.196
20.63,1.873,6.199
20.63,1.869,6.201
20.64,1.865,6.204
20.65,1.860,6.206
20.67,1.856,6.208
20.68,1.852,6.211
20.69,1.847,6.213
20.70,1.843,6.216
20.72,1.838,6.218
20.72,1.834,6.221
20.73,1.830,6.223
20.74,1.825,6.225
20.75,1.821,6.228
20.76,1.817,6.230
20.77,1.812,6.233
20.78,1.808,6.235
20.79,1.803,6.237
20.80,1.799,6.240
20.81,1.795,6.242
20.82,1.790,6.245
20.83,1.786,6.247
20.84,1.782,6.250
20.85,1.777,6.252
20.86,1.773,6.254
20.87,1.768,6.257
20.88,1.764,6.259
20.88,1.760,6.262
20.90,1.755,6.264
20.91,1.751,6.267
20.91,1.747,6.269
20.92,1.742,6.271
20.94,1.738,6.274
20.94,1.733,6.276
20.95,1.729,6.279
20.96,1.725,6.281
20.98,1.720,6.283
20.99,1.716,6.286
21.00,1.712,6.288
21.01,1.707,6.291
21.02,1.703,6.293
21.03,1.698,6.296
21.04,1.694,6.298
21.05,1.690,6.300
21.06,1.685,6.303
21.07,1.681,6.305
21.08,1.677,6.308
21.10,1.672,6.310
21.10,1.668,6.313
21.12,1.663,6.315
21.13,1.659,6.317
21.14,1.655,6.320
21.15,1.650,6.322
21.16,1.646,6.325
21.17,1.642,6.327
21.18,1.637,6.329
21.19,1.633,6.332
21.20,1.628,6.334
21.20,1.624,6.337
21.21,1.620,6.339
21.23,1.615,6.342
21.23,1.611,6.344
21.25,1.607,6.346
21.25,1.602,6.349
21.27,1.598,6.351
21.28,1.593,6.354
21.29,1.589,6.356
21.30,1.585,6.358
21.31,1.580,6.361
21.32,1.576,6.363
21.33,1.572,6.366
21.34,1.567,6.368
21.35,1.563,6.371
21.36,1.558,6.373
21.37,1.554,6.375
21.38,1.550,6.378
21.39,1.545,6.380
21.40,1.541,6.383
21.42,1.537,6.385
21.42,1.532,6.388
21.43,1.528,6.390
21.44,1.523,6.392
21.45,1.519,6.395
21.47,1.515,6.397
21.47,1.510,6.400
21.48,1.506,6.402
21.49,1.502,6.404
21.50,1.497,6.407
21.51,1.493,6.409
21.52,1.488,6.412
21.53,1.484,6.414
21.54,1.480,6.417
21.55,1.475,6.419
21.56,1.471,6.421
21.57,1.467,6.424
21.58,1.462,6.426
21.59,1.458,6.429
21.60,1.453,6.431
21.61,1.449,6.433
21.62,1.445,6.436
21.63,1.440,6.438
21.64,1.436,6.441
21.65,1.432,6.443
21.66,1.427,6.446
21.67,1.423,6.448
21.69,1.418,6.450
21.70,1.414,6.453
21.71,1.410,6.455
21.72,1.405,6.458
21.73,1.401,6.460
21.74,1.397,6.463
21.75,1.392,6.465
21.76,1.388,6.467
21.77,1.383,6.470
21.78,1.379,6.472
21.79,1.375,6.475
21.80,1.370,6.477
21.81,1.366,6.479
21.82,1.362,6.482
21.84,1.353,6.487
21.85,1.348,6.489
21.86,1.344,6.492
21.87,1.340,6.494
21.88,1.335,6.496
21.89,1.331,6.499
21.91,1.327,6.501
21.91,1.322,6.504
21.92,1.318,6.506
21.93,1.313,6.508
21.94,1.309,6.511
21.96,1.305,6.513
21.96,1.300,6.516
21.97,1.296,6.518
21.99,1.292,6.521
22.00,1.287,6.523
22.01,1.283,6.525
22.02,1.278,6.528
22.03,1.274,6.530
22.04,1.270,6.533
22.05,1.265,6.535
22.06,1.261,6.537
22.07,1.256,6.540
22.08,1.252,6.542
22.09,1.248,6.545
22.10,1.243,6.547
22.11,1.239,6.550
22.13,1.235,6.552
22.13,1.230,6.554
22.14,1.226,6.557
22.15,1.221,6.559
22.17,1.217,6.562
22.17,1.213,6.564
22.18,1.208,6.566
22.19,1.204,6.569
22.20,1.200,6.571
22.21,1.195,6.574
22.22,1.191,6.576
22.24,1.186,6.579
22.25,1.182,6.581
22.25,1.178,6.583
22.26,1.173,6.586
22.28,1.169,6.588
22.28,1.165,6.591
22.29,1.160,6.593
22.30,1.156,6.595
22.31,1.151,6.598
22.32,1.147,6.600
22.33,1.143,6.603
22.34,1.138,6.605
22.36,1.134,6.608
22.37,1.130,6.610
22.37,1.125,6.612
22.38,1.121,6.615
22.39,1.116,6.617
22.40,1.112,6.620
22.41,1.108,6.622
22.43,1.103,6.624
22.44,1.099,6.627
22.45,1.095,6.629
22.46,1.090,6.632
22.47,1.086,6.634
22.47,1.081,6.637
22.48,1.077,6.639
22.49,1.073,6.641
22.50,1.068,6.644
22.51,1.064,6.646
22.52,1.060,6.649
22.54,1.055,6.651
22.55,1.051,6.653
22.55,1.046,6.656
22.57,1.042,6.658
22.58,1.038,6.661
22.59,1.033,6.663
22.60,1.029,6.666
22.61,1.024,6.668
22.62,1.020,6.670
22.62,1.016,6.673
22.64,1.011,6.675
22.65,1.007,6.678
22.66,1.003,6.680
22.67,0.998,6.682
22.68,0.994,6.685
22.69,0.989,6.687
22.70,0.985,6.690
22.71,0.981,6.692
22.72,0.976,6.695
22.73,0.972,6.697
22.73,0.968,6.699
22.74,0.963,6.702
22.75,0.959,6.704
22.76,0.954,6.707
22.77,0.950,6.709
22.79,0.946,6.711
22.80,0.941,6.714
22.81,0.937,6.716
22.81,0.933,6.719
22.83,0.928,6.721
22.84,0.924,6.724
22.85,0.919,6.726
22.86,0.915,6.728
22.87,0.911,6.731
22.88,0.906,6.733
22.89,0.902,6.736
22.90,0.898,6.738
22.91,0.893,6.740
22.92,0.889,6.743
22.93,0.884,6.745
22.94,0.880,6.748
22.95,0.876,6.750
22.96,0.871,6.753
22.97,0.867,6.755
22.98,0.863,6.757
22.99,0.858,6.760
23.00,0.854,6.762
23.01,0.849,6.765
23.02,0.845,6.767
23.03,0.841,6.769
23.04,0.836,6.772
23.06,0.832,6.774
23.06,0.827,6.777
23.07,0.823,6.779
23.09,0.819,6.781
23.09,0.814,6.784
23.10,0.810,6.786
23.11,0.806,6.789
23.12,0.801,6.791
23.13,0.797,6.794
23.14,0.792,6.796
23.16,0.784,6.801
23.17,0.779,6.803
23.18,0.775,6.806
23.19,0.771,6.808
23.20,0.766,6.810
23.21,0.762,6.813
23.23,0.757,6.815
23.24,0.753,6.818
23.25,0.749,6.820
23.26,0.744,6.823
23.27,0.740,6.825
23.28,0.736,6.827
23.29,0.731,6.830
23.30,0.727,6.832
23.31,0.722,6.835
23.31,0.718,6.837
23.32,0.714,6.839
23.34,0.709,6.842
23.34,0.705,6.844
23.35,0.701,6.847
23.37,0.696,6.849
23.37,0.692,6.852
23.38,0.687,6.854
23.39,0.683,6.856
23.41,0.679,6.859
23.42,0.674,6.861
23.43,0.670,6.864
23.44,0.666,6.866
23.45,0.661,6.868
23.46,0.657,6.871
23.47,0.652,6.873
23.48,0.648,6.876
23.49,0.644,6.878
23.50,0.639,6.880
23.51,0.635,6.883
23.52,0.630,6.885
23.53,0.626,6.888
23.54,0.622,6.890
23.56,0.617,6.893
23.56,0.613,6.895
23.57,0.609,6.897
23.59,0.604,6.900
23.60,0.600,6.902
23.61,0.595,6.905
23.62,0.591,6.907
23.62,0.587,6.909
23.63,0.582,6.912
23.64,0.578,6.914
23.65,0.574,6.917
23.66,0.569,6.919
23.67,0.565,6.922
23.68,0.560,6.924
23.69,0.556,6.926
23.70,0.552,6.929
23.71,0.547,6.931
23.72,0.543,6.934
23.74,0.539,6.936
23.74,0.534,6.938
23.75,0.530,6.941
23.77,0.521,6.946
23.78,0.517,6.948
23.79,0.512,6.951
23.81,0.508,6.953
23.81,0.504,6.955
23.82,0.499,6.958
23.83,0.495,6.960
23.85,0.490,6.963
23.86,0.486,6.965
23.87,0.482,6.967
23.88,0.477,6.970
23.89,0.473,6.972
23.90,0.468,6.975
23.90,0.464,6.977
