time,v_rl,v_rr,delta_fl,delta_fr
0.2671825885772705,-1.8071058916373247e-08,1.699005396029586e-08,6.184917467066953e-09,-6.517482287193843e-08
0.27773571014404297,-1.8071126593797887e-08,1.6990102764059623e-08,6.187046430738974e-09,-6.516034112280522e-08
0.28505563735961914,-1.8071077578827947e-08,1.6990050795502905e-08,6.1891798353030936e-09,-6.514586026185043e-08
0.295729398727417,-1.807113159134994e-08,1.699005485071397e-08,6.191308798975115e-09,-6.513138295360932e-08
0.30473923683166504,-1.8071209068558245e-08,1.6990115605910618e-08,6.193439539003975e-09,-6.511690830990347e-08
0.31722497940063477,-1.807122611055228e-08,1.699011371407005e-08,6.195571167211256e-09,-6.510243188984077e-08
0.3257415294647217,-1.8071310356537714e-08,1.699020108803706e-08,6.197700130883277e-09,-6.508796168702702e-08
0.33750247955322266,-1.8071365850803512e-08,1.6990236053846607e-08,6.1998308709121375e-09,-6.507349858964062e-08
0.34786462783813477,-1.8071505109632896e-08,1.6990372488082706e-08,6.2019571700488996e-09,-6.505904259768158e-08
0.3593745231628418,-1.8071490761181573e-08,1.6990345950751416e-08,6.204085245542501e-09,-6.504459548750674e-08
0.3683321475982666,-1.8071423232259666e-08,1.699031001424313e-08,6.206212432857683e-09,-6.503015015368874e-08
0.3810312747955322,-1.8071390655473245e-08,1.699026555471338e-08,6.2083369556376056e-09,-6.501571192529809e-08
0.39224720001220703,-1.8071452820173207e-08,1.699030517414935e-08,6.210464142952787e-09,-6.500128346687006e-08
0.39902710914611816,-1.8071397422744315e-08,1.6990276004381245e-08,6.212586889375871e-09,-6.49868576729773e-08
0.40805506706237793,-1.8071430730507903e-08,1.699027100021522e-08,6.214710523977374e-09,-6.497244076086872e-08
0.4190239906311035,-1.8071507848955947e-08,1.6990377396460487e-08,6.216833270400457e-09,-6.495803095418751e-08
0.42818212509155273,-1.8071672350575058e-08,1.6990544761347088e-08,6.218953352288281e-09,-6.494363002929049e-08
0.43977928161621094,-1.8071622390843273e-08,1.6990512333009117e-08,6.221075210532945e-09,-6.492923443346399e-08
0.4492671489715576,-1.807172909404271e-08,1.699061686001415e-08,6.2231935160639296e-09,-6.491484683124327e-08
0.46084165573120117,-1.8071755048893467e-08,1.6990636752038275e-08,6.225313597951754e-09,-6.49004618935578e-08
0.46970534324645996,-1.807174285979913e-08,1.699062564494921e-08,6.2274319034827386e-09,-6.488608228494286e-08
0.48250579833984375,-1.8071744445204215e-08,1.699062513250146e-08,6.229551097192143e-09,-6.487169912361423e-08
0.4899289608001709,-1.8071735535892328e-08,1.6990612612486833e-08,6.2316702909015476e-09,-6.485732306771297e-08
