rear_left_wheel,rear_right_wheel
32.412658015908406,33.394396221519656
32.49096557218796,33.476044674925916
32.56978884552486,33.556972321473594
32.64808134528295,33.63834846247734
32.72673791673708,33.71943905491948
32.80501313677344,33.800844148533955
32.88366251144232,33.88194006201648
32.961840895897154,33.963410733698076
33.04048000227457,34.04449317300988
33.11924691230548,34.12548464687664
33.19758280416339,34.20682727946674
33.27563222312392,34.288372016339046
33.35419429778727,34.369483504235816
33.43201413596678,34.45121808498346
33.51055764390708,34.53236093543605
33.588368928396946,34.61405486851902
33.66684445664343,34.695197819706216
33.74480487952873,34.77675672730265
33.8232373643517,34.8579348465496
33.900786579464366,34.940051672374686
35.31211603264912,36.402676348275904
36.40581819992107,37.543494594758826
37.26889982858703,38.43636393277854
38.05190136916116,39.25006209584133
39.06816993008171,40.308943261068265
39.849918293890404,41.12351096454205
40.70670970605947,42.021556263883056
41.56788860851338,42.916259313225844
42.34743085350181,43.73271354342288
43.126752345828855,44.5481017648149
43.90732323145798,45.363321948426
44.606885033820326,46.09825746286052
45.3851876895451,46.913404671083
46.164769250902495,47.72929086682298
46.86214795196114,48.466314538279384
47.718380484097,49.36295356786921
48.8828603667374,50.59018882164363
49.65937480611746,51.40718187438902
50.51307141545236,52.30637804304031
51.361640021600145,53.20891499080665
52.21739071839187,54.10560887545974
52.99187812325692,54.924613694730894
53.76537522510065,55.74214483444892
54.54223684112418,56.55926660212669
55.31139021585385,57.381418700083074
56.08745540373417,58.19518912586321
56.86056943692827,59.01468759185909
57.63473722798497,59.82960391575992
58.40896886093035,60.643436766055345
59.49091259152449,61.78933778862834
60.265639426032166,62.60426935237341
61.04228600764794,63.418854426121264
61.89174391678358,64.31579944259892
62.74723083349807,65.20962161433211
63.52706672316848,66.02479684637353
64.38055186473306,66.92445775245727
65.16441650053869,67.7342351690342
65.86782895365086,68.46592015545858
66.64716326567,69.27973533184117
67.50962509160736,70.17138064943651
68.29187175475634,70.98394430382896
69.47191037134013,72.19806442448639
70.25788428777348,73.00853726995628
71.12261799565158,73.89806834233885
71.98874581818505,74.78807232750547
72.77844544907201,75.59549183467779
73.64646825124301,76.48244785237945
74.51722715176399,77.36830199583025
75.3069915543877,78.17350028095142
76.17805601725519,79.05866026739
77.05060779240597,79.94217418250571
77.92171158733211,80.82567083275453
78.71578290247898,81.62830974302128
79.90756355540098,82.83043042473543
80.78190443667705,83.7130335467665
81.73558649316486,84.67358895830274
82.61155451614718,85.55447772993853
83.48703040837474,86.43568998909865
84.36305136080802,87.31439669461682
85.2390690759703,88.1950616095034
86.03656978735413,88.9934951539736
86.99234591863625,89.95298943003708
87.8706162515858,90.83090144135008
88.82649261686892,91.78951905006551
89.86380870846287,92.82957336119591
91.05628717954652,94.02653439606551
92.0107437907694,94.98741647780625
92.9676950792092,95.94368312620452
93.921269361334,96.90090924039382
94.95517998813773,97.93537373755548
95.9066510039142,98.88813604072121
96.7831899221643,99.7672255213779
97.6600657554685,100.64568582698867
98.37404358947444,101.3650450224708
99.17179737804808,102.1625370754219
99.96867852288747,102.96226534469305
100.76624153042127,103.76166727276959
101.80290206355873,104.79944255182774
102.67896381729305,105.6801193770736
103.4743893820447,106.48143753678438
104.2710208984575,107.28096805995307
105.14885179779405,108.16017590294022
106.02499879357713,109.03875611366104
106.82101717502285,109.8393809746883
107.61816226072125,110.63878130612657
108.41475688631253,111.43766669180472
109.2114765174826,112.23778794508469
110.08918198046929,113.11577750122655
110.9640233769,113.99583410712005
111.84133514703859,114.8751060999908
112.7159609315392,115.7544935199734
113.82944886688568,116.87785414329335
114.5476079156549,117.59640288308437
115.4227526060669,118.47610101934934
116.22013074745328,119.27564094862677
117.09822905709665,120.15252897943455
117.89451282595707,120.95237960117818
118.6920709389421,121.7511248083255
119.56712685023885,122.62967141843586
120.44518300660424,123.50826128001162
121.24320935219782,124.30635699108524
122.12016669237012,125.1845899147099
122.99489754114859,126.06740646722102
124.11313213829841,127.18403476378175
124.99364094528605,128.06091593733586
125.78688129100568,128.86442053421925
126.58492988777172,129.66371332543486
127.38565917223397,130.46107327418054
128.18735888455276,131.25665830282168
128.9840121538742,132.0553116501647
129.94498537609596,133.01158412820342
130.74388767682717,133.80902791950285
131.62382143472087,134.6871192071006
132.42294208372437,135.4857027978202
133.3017363866433,136.3653079861121
134.4154547333998,137.47922089171314
135.29210319160023,138.35811317630004
136.17106296943453,139.23699985708814
137.04906218887302,140.11536061386835
137.84662866094882,140.91444591243115
138.64524828041894,141.71233927857682
139.52202333201035,142.59115125768386
140.3205838252518,143.3897352466449
141.19987044525124,144.26642950545778
141.99714440961725,145.06451540415728
142.87628584136127,145.94225756704301
144.07065817171326,147.1411992545421
144.94921420037423,148.0176987370851
145.82672621425544,148.8956416344806
146.7048717055208,149.77359208306936
147.50339196798132,150.57151086654994
148.3004879498028,151.36905240629318
149.09877639898028,152.16788203964438
149.8969001307698,152.9661641450689
150.7730819461561,153.84412507116645
151.57125513329387,154.64291282328145
152.36933546060538,155.44075063375192
153.08717734366942,156.158383632069
154.20450195952876,157.27628547034007
155.16048582688546,158.23441806732419
155.95810290535977,159.03441842561773
156.75590807811471,159.83214211899514
157.55250787289958,160.63013759474367
158.35088762433227,161.4289816850784
159.3087196099961,162.38581585652315
160.1053403222245,163.18487566909047
