timestamp,x,y,z,qx,qy,qz,qw
1739986593.3522284,9.073500096685502,-2.3121720352604902e-05,-0.00420794952193615,-3.3118328991778712e-06,2.598992259492591e-06,0.7068252021171613,0.7073882481596024
1739986593.557087,9.073500096042617,-2.3723300126511984e-05,-0.004207949521004922,-3.3118445417083244e-06,2.5989810440699966e-06,0.706825202126286,0.7073882481504848
1739986593.7740765,9.07350009539972,-2.432487765371104e-05,-0.0042079495200774975,-3.3118561642631602e-06,2.598969836672054e-06,0.7068252021353528,0.7073882481414254
1739986594.02821,9.07350009475683,-2.4926452933338172e-05,-0.004207949519155069,-3.311867760711151e-06,2.5989586415494523e-06,0.7068252021444145,0.7073882481323709
1739986594.22284,9.07350009411391,-2.552802596536216e-05,-0.004207949518239634,-3.3118793238926767e-06,2.5989474644803782e-06,0.7068252021535995,0.7073882481231932
1739986594.4190252,9.073500093470955,-2.612959674635519e-05,-0.004207949517331944,-3.3118908531482267e-06,2.598936311378652e-06,0.7068252021629379,0.7073882481138621
1739986594.6199641,9.073500092827988,-2.6731165275153262e-05,-0.004207949516428,-3.3119023603337095e-06,2.5989251632682046e-06,0.7068252021722553,0.7073882481045523
1739986594.8193076,9.073500092184997,-2.73327315499991e-05,-0.0042079495155293856,-3.311913840316772e-06,2.598914027147763e-06,0.706825202181517,0.7073882480952979
1739986595.0590868,9.07350009154195,-2.79342955670156e-05,-0.0042079495146382095,-3.3119252898472597e-06,2.5989029168996763e-06,0.7068252021908258,0.7073882480859965
1739986595.2631414,9.073500090898857,-2.853585732245055e-05,-0.004207949513753639,-3.3119367117026095e-06,2.598891830117585e-06,0.7068252022001416,0.7073882480766881
1739986595.4539578,9.073500090255754,-2.9137416811236827e-05,-0.0042079495128707345,-3.311948126159782e-06,2.59888074746155e-06,0.7068252022094553,0.7073882480673817
1739986595.654694,9.073500089612654,-2.9738974034227914e-05,-0.004207949511989245,-3.311959530547104e-06,2.598869666237112e-06,0.7068252022187737,0.7073882480580708
1739986595.8749793,9.073500088969542,-3.0340528995356428e-05,-0.004207949511113668,-3.311970904251168e-06,2.5988585974849453e-06,0.7068252022281557,0.7073882480486962
1739986596.1032572,9.073500088326405,-3.0942081690261275e-05,-0.004207949510245779,-3.3119822456439094e-06,2.5988475556947117e-06,0.7068252022376439,0.7073882480392154
1739986596.296805,9.07350008768325,-3.154363211421013e-05,-0.004207949509384634,-3.3119935591544017e-06,2.5988365366536612e-06,0.7068252022472175,0.7073882480296495
1739986596.499685,9.073500087040088,-3.214518026242036e-05,-0.004207949508525155,-3.3120048649126535e-06,2.5988255218888846e-06,0.7068252022567939,0.7073882480200807
1739986596.703796,9.0735000863969,-3.274672613805957e-05,-0.004207949507670061,-3.3120161476531645e-06,2.5988145162691355e-06,0.7068252022663487,0.7073882480105335
1739986596.902809,9.073500085753674,-3.33482697379775e-05,-0.004207949506822156,-3.3120274008169257e-06,2.598803536460719e-06,0.7068252022759575,0.7073882480009323
1739986597.131847,9.073500085110423,-3.3949811059513085e-05,-0.004207949505981495,-3.3120386240149054e-06,2.5987925808239074e-06,0.7068252022856435,0.7073882479912542
1739986597.335651,9.073500084467163,-3.4551350102598674e-05,-0.004207949505146247,-3.3120498146433193e-06,2.5987816341470408e-06,0.7068252022953468,0.7073882479815583
1739986597.5305111,9.073500083823902,-3.515288686819183e-05,-0.004207949504315023,-3.3120609783591925e-06,2.5987706860938006e-06,0.7068252023050536,0.7073882479718593
1739986597.727274,9.07350008318062,-3.57544213556351e-05,-0.004207949503488462,-3.312072114095836e-06,2.598759746133452e-06,0.7068252023147495,0.707388247962171
1739986597.9330645,9.073500082537302,-3.6355953558765e-05,-0.004207949502668118,-3.312083226497797e-06,2.5987488289825e-06,0.7068252023244773,0.7073882479524511
1739986598.17184,9.07350008189395,-3.695748347027836e-05,-0.004207949501852326,-3.3120943264484395e-06,2.5987379368621493e-06,0.7068252023342584,0.7073882479426777
1739986598.3642685,9.073500081250577,-3.75590110889331e-05,-0.004207949501040226,-3.312105412510042e-06,2.598727056338904e-06,0.7068252023440386,0.7073882479329053
1739986598.573076,9.073500080607182,-3.81605364198085e-05,-0.004207949500231539,-3.31211647414914e-06,2.5987161784713296e-06,0.7068252023537659,0.7073882479231858
1739986598.7673557,9.073500079963749,-3.87620594592044e-05,-0.00420794949942907,-3.3121275092450133e-06,2.5987053208642248e-06,0.7068252023634959,0.7073882479134634
1739986598.9708967,9.07350007932027,-3.936358020235724e-05,-0.004207949498633262,-3.31213851970926e-06,2.5986944886253764e-06,0.706825202373249,0.7073882479037181
1739986599.2093518,9.073500078676767,-3.996509864625207e-05,-0.004207949497842783,-3.312149507325696e-06,2.5986836745329977e-06,0.7068252023830283,0.7073882478939466
1739986599.3985617,9.073500078033263,-4.056661479313016e-05,-0.004207949497056052,-3.3121604697857555e-06,2.5986728615046905e-06,0.7068252023928255,0.7073882478841571
1739986599.5961354,9.073500077389765,-4.1168128644684596e-05,-0.004207949496273122,-3.3121714061508596e-06,2.598662049125146e-06,0.7068252024026466,0.707388247874344
1739986599.80092,9.073500076746253,-4.176964019991271e-05,-0.004207949495495467,-3.312182313926983e-06,2.598651247361594e-06,0.7068252024125146,0.7073882478644838
1739986600.0048277,9.073500076102722,-4.237114945039415e-05,-0.004207949494723112,-3.3121932055414002e-06,2.5986404702754103e-06,0.7068252024224655,0.7073882478545408
1739986600.2425897,9.07350007545916,-4.2972656387816124e-05,-0.004207949493953644,-3.3122040941906435e-06,2.5986297153416633e-06,0.7068252024325137,0.7073882478445006
