timestamp,x,y,z,qx,qy,qz,qw
1739986593.279973,9.07349999945058,-6.913882457371478e-07,0.0,0.0,0.0,0.7068263817497387,0.7073870694765156
1739986593.3155231,9.073499999449833,-6.923288697528708e-07,0.0,0.0,0.0,0.7068263833855779,0.7073870678419729
1739986593.3171847,9.073499999449075,-6.932852862672148e-07,0.0,0.0,0.0,0.7068263850488854,0.7073870661799838
1739986593.3188784,9.073499999448334,-6.942193909776235e-07,0.0,0.0,0.0,0.7068263866733966,0.7073870645567603
1739986593.3206816,9.073499999447572,-6.951806863134462e-07,0.0,0.0,0.0,0.7068263883452044,0.7073870628862775
1739986593.3300643,9.073499999446842,-6.961008333046957e-07,0.0,0.0,0.0,0.7068263899454595,0.7073870612872907
1739986593.3403637,9.073499999446083,-6.970578925855664e-07,0.0,0.0,0.0,0.7068263916099135,0.707387059624156
1739986593.3500798,9.073499999445364,-6.979647305214446e-07,0.0,0.0,0.0,0.7068263931870324,0.707387058048287
1739986593.3603368,9.073499999444618,-6.989047001758664e-07,0.0,0.0,0.0,0.7068263948217778,0.7073870564148373
1739986593.370738,9.073499999443884,-6.998305766610077e-07,0.0,0.0,0.0,0.7068263964320224,0.7073870548058689
1739986593.3801787,9.073499999443202,-7.006914514839137e-07,0.0,0.0,0.0,0.7068263979292249,0.7073870533098532
1739986593.3899992,9.07349999944247,-7.016148268528606e-07,0.0,0.0,0.0,0.7068263995351358,0.707387051705215
1739986593.3999374,9.073499999441735,-7.025418000806912e-07,0.0,0.0,0.0,0.7068264011473074,0.7073870500943212
1739986593.4104261,9.073499999440989,-7.034833357183744e-07,0.0,0.0,0.0,0.7068264027848103,0.7073870484581161
1739986593.4202144,9.073499999440253,-7.044109347780126e-07,0.0,0.0,0.0,0.7068264043980842,0.7073870468461207
1739986593.4305253,9.073499999439504,-7.05357108574101e-07,0.0,0.0,0.0,0.7068264060436689,0.7073870452018404
1739986593.4408927,9.073499999438749,-7.063089073361028e-07,0.0,0.0,0.0,0.7068264076990461,0.7073870435477752
1739986593.452578,9.073499999438024,-7.072234684712039e-07,0.0,0.0,0.0,0.7068264092896639,0.707387041958418
1739986593.4602056,9.073499999437349,-7.080747211606792e-07,0.0,0.0,0.0,0.7068264107701806,0.7073870404790746
1739986593.4719,9.073499999436617,-7.089972951789809e-07,0.0,0.0,0.0,0.7068264123747465,0.7073870388757802
1739986593.4803863,9.073499999435954,-7.098334858627714e-07,0.0,0.0,0.0,0.7068264138290778,0.7073870374226016
1739986593.4903953,9.073499999435244,-7.107288510834965e-07,0.0,0.0,0.0,0.7068264153863352,0.7073870358665785
1739986593.4999175,9.073499999434521,-7.116407472252181e-07,0.0,0.0,0.0,0.706826416972348,0.7073870342818226
1739986593.5115101,9.073499999433656,-7.127321373652706e-07,0.0,0.0,0.0,0.7068264188705559,0.7073870323851191
1739986593.520409,9.073499999433006,-7.13551443255795e-07,0.0,0.0,0.0,0.7068264202955435,0.7073870309612607
1739986593.5307603,9.07349999943228,-7.144686216447004e-07,0.0,0.0,0.0,0.7068264218907623,0.7073870293673062
1739986593.5411458,9.073499999431547,-7.15391854543168e-07,0.0,0.0,0.0,0.7068264234965226,0.7073870277628184
1739986593.5510712,9.073499999430817,-7.163116458082973e-07,0.0,0.0,0.0,0.7068264250963014,0.7073870261643074
1739986593.5603561,9.073499999430148,-7.171567100404032e-07,0.0,0.0,0.0,0.7068264265661157,0.707387024695658
1739986593.5716324,9.073499999429357,-7.181536955458556e-07,0.0,0.0,0.0,0.7068264283001687,0.7073870229629792
1739986593.5801342,9.07349999942873,-7.189447169163021e-07,0.0,0.0,0.0,0.7068264296760002,0.7073870215882381
1739986593.5904202,9.07349999942798,-7.198895643145513e-07,0.0,0.0,0.0,0.7068264313193854,0.7073870199461552
1739986593.600102,9.07349999942728,-7.207717320765036e-07,0.0,0.0,0.0,0.7068264328537602,0.7073870184129962
1739986593.6103845,9.073499999426527,-7.21721202079584e-07,0.0,0.0,0.0,0.7068264345052012,0.707387016762864
1739986593.6213667,9.073499999425751,-7.227009491399619e-07,0.0,0.0,0.0,0.7068264362093103,0.7073870150601054
1739986593.6310923,9.073499999425053,-7.235807414314428e-07,0.0,0.0,0.0,0.7068264377395731,0.7073870135310553
1739986593.6402917,9.073499999424405,-7.243981215535575e-07,0.0,0.0,0.0,0.7068264391612852,0.70738701211047
1739986593.6507976,9.073499999423646,-7.253552831990597e-07,0.0,0.0,0.0,0.7068264408261339,0.7073870104469404
1739986593.6617,9.07349999942287,-7.263345612350152e-07,0.0,0.0,0.0,0.7068264425294563,0.7073870087449678
1739986593.6708846,9.073499999422186,-7.27196618557982e-07,0.0,0.0,0.0,0.7068264440288904,0.707387007246722
1739986593.6816297,9.073499999421474,-7.280957204847642e-07,0.0,0.0,0.0,0.7068264455927684,0.7073870056840832
1739986593.690556,9.073499999420804,-7.28940259637076e-07,0.0,0.0,0.0,0.7068264470617461,0.7073870042162695
1739986593.7040808,9.07349999942008,-7.298534849733928e-07,0.0,0.0,0.0,0.7068264486501994,0.7073870026290751
1739986593.7119462,9.073499999419347,-7.307758552356542e-07,0.0,0.0,0.0,0.7068264502545684,0.7073870010259775
1739986593.7231584,9.073499999418587,-7.317341185282926e-07,0.0,0.0,0.0,0.7068264519213734,0.7073869993604932
1739986593.7315855,9.073499999417932,-7.325604299745193e-07,0.0,0.0,0.0,0.7068264533586722,0.7073869979243333
1739986593.7424018,9.073499999417242,-7.334293849451894e-07,0.0,0.0,0.0,0.7068264548701478,0.7073869964140554
